word,def,ex
Accelerate,Thúc đẩy/Làm nhanh hơn,The school decided to accelerate the learning process.
Accessible,Có thể tiếp cận được,The information should be easily accessible to students.
Accomplish,Hoàn thành/Đạt được,You can accomplish anything with hard work.
Accumulate,Tích lũy,He accumulated a lot of knowledge during the course.
Accustomed to,Quen với cái gì,I am accustomed to getting up early to code.
Acknowledge,Thừa nhận/Công nhận,He acknowledged that he had made a mistake.
Acquire,Đạt được/Thu nhận,Reading helps you acquire a vast vocabulary.
Adequate,Đầy đủ/Thỏa đáng,The supply of resources was not adequate for the project.
Adjust,Điều chỉnh,You can adjust the settings to suit your needs.
Adolescence,Thời thanh thiếu niên,Adolescence is a period of transition.
Advantageous,Có lợi,It would be advantageous to learn a second language.
Advocate,Ủng hộ/Tán thành,She advocates for environmental protection.
Alleviate,Giảm bớt,The new medicine helps alleviate the pain.
Ambiguous,Mơ hồ/Nhập nhằng,His reply to my question was somewhat ambiguous.
Anticipate,Dự đoán/Lường trước,We anticipate that the prices will rise next month.
Apparent,Rõ ràng,It became apparent that the plan would not work.
Appreciate,Trân trọng/Đánh giá cao,I really appreciate your help.
Appropriate,Phù hợp,Is this film appropriate for small children?
Approximate,Xấp xỉ,The approximate cost of the trip is 500 dollars.
Artificial,Nhân tạo,Artificial Intelligence is changing the world.
Aspire to,Khao khát,Many people aspire to greatness.
Assess,Đánh giá,Teachers assess the progress of their students.
Assumption,Giả định,We are working on the assumption that it will rain.
Attain,Đạt được,She attained a high level of fitness.
Attribute to,Quy cho là do,The success was attributed to hard work.
Authentic,Đích thực/Xác thực,It is an authentic Italian restaurant.
Beneficial,Có lợi,Regular exercise is beneficial to health.
Chronological,Theo thứ tự thời gian,The books are arranged in chronological order.
Coincide,Trùng hợp,My holiday coincides with the wedding.
Collaborate,Cộng tác,Researchers are collaborating on the new project.
Commence,Bắt đầu,The ceremony will commence at 10 am.
Compensate,Đền bù/Bồi thường,Nothing can compensate for the loss of a loved one.
Competent,Có năng lực/Thành thạo,He is a competent computer programmer.
Complement,Bổ sung cho nhau,The wine complements the food perfectly.
Complex,Phức tạp,The situation is very complex.
Comply with,Tuân thủ,All students must comply with the rules.
Comprehensive,Toàn diện,The book provides a comprehensive guide to the city.
Compulsory,Bắt buộc,English is a compulsory subject at school.
Concede,Thừa nhận/Nhượng bộ,The government conceded that the policy was a failure.
Conceive,Hình dung/Tưởng tượng,It is hard to conceive of a world without internet.
Conclusive,Thuyết phục/Xác đáng,There is no conclusive evidence of his guilt.
Concurrent,Đồng thời,He was given two concurrent prison sentences.
Confidential,Bảo mật,The information is strictly confidential.
Confine,Hạn chế/Giam cầm,The work is not confined to the office.
Conform to,Tuân thủ theo tiêu chuẩn,The building must conform to safety regulations.
Consecutive,Liên tiếp,It rained for three consecutive days.
Consequence,Hệ quả,Every action has a consequence.
